,username,tweet,retweet_count,favorite_count,followers_count,lang
0,kim,"RT @fairyrashmi: if reincarnation is real, I wonder how many people stare at their own art in museums, listen to music they made in a diffe…",21125,0,305,en
1,lou,"RT @bts_bighit: â€˜Lilith (ft. SUGA of BTS) (Diablo IV Anthem)â€™ Release
#Lilith #SUGA #슈가 #Halsey @halsey

▶멜론: https://t.co/woTYJJK3rD
▶지니:…",63200,0,255,en
2,ＫＨムＤムR 🏹,"RT @MediaYouwe: Hereâ€™s the promo of a beautiful melody that will tug at your heartstrings, ""𝑲𝒂𝒍𝒂𝒚𝒂 𝑵𝒊𝒋𝒂𝒎𝒂"" from #CallingSahasra🎶💓

▶️https:…",9,0,521,en
3,Biggest Apple,"RT @JoyNewsOnTV: Lasmid leaves Highly Spiritual Music – Kaywa confirms #JoyNews 
https://t.co/8BBJjECUCX https://t.co/zwKPAagIP5",10,0,564,en
4,LK125,"RT @KnjMyLife: â€˜Lilith (ft. SUGA of BTS) (Diablo IV Anthem)â€™ Release 
멜론: https://t.co/GKYmAWEKSn 
지니: https://t.co/5Mk9E4vrQA 
YouTube Mus…",99,0,6,en
5,jam⁷𖧵,"RT @bts_bighit: â€˜Lilith (ft. SUGA of BTS) (Diablo IV Anthem)â€™ Release
#Lilith #SUGA #슈가 #Halsey @halsey

▶멜론: https://t.co/woTYJJK3rD
▶지니:…",63200,0,2271,en
6,erin 🫂,new ludo music. i’m insane,0,0,86,en
7,आrmy⁷,"RT @bts_bighit: â€˜Lilith (ft. SUGA of BTS) (Diablo IV Anthem)â€™ Release
#Lilith #SUGA #슈가 #Halsey @halsey

▶멜론: https://t.co/woTYJJK3rD
▶지니:…",63200,0,546,en
8,NIRVANANEIGHBORHOO,mai me music🔪🔪 https://t.co/BjrbE6YnEr,0,0,1,en
9,paigey⁷ SAW YOONGI,"RT @bts_bighit: â€˜Lilith (ft. SUGA of BTS) (Diablo IV Anthem)â€™ Release
#Lilith #SUGA #슈가 #Halsey @halsey

▶멜론: https://t.co/woTYJJK3rD
▶지니:…",63200,0,656,en
10,Music NFT Promo,RT @aryetime: Shoutout those minting the 1 U music video. 🔥 https://t.co/VGeRT5ggK6,2,0,103,en
11,dee is seeing txt !,RT @dearsputniked: people finding out new good songs of other groups from the 4th gen streaming playlist. we gotta thank txt chart for plan…,99,0,452,en
12,TRAPISTAN 💫,"@HipHopAllDayy @Roisee__ consistency like you said. If you make good music and your consistent you will make it. whoever this shordy is first of all wasn’t consistent, i’m talking one track a week type consistent. if she did that and her music was acc good she wouldn’t need metros help",0,0,25,en
